policy,cost_mode,lambda,mean_reward,mean_cost,mean_utility,choice_counts_by_route
q_bare_direct,fixed_train_mean,0.0,0.40559440559440557,0.009137211993006994,0.40559440559440557,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 48, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 64, ""solver:openai/gpt-oss-120b"": 174, ""solver:openai/gpt-oss-20b"": 0}"
q_bare_direct,predicted_expert_fixed_scout,0.0,0.40559440559440557,0.009137211993006994,0.40559440559440557,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 48, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 64, ""solver:openai/gpt-oss-120b"": 174, ""solver:openai/gpt-oss-20b"": 0}"
q_bare_direct,oracle_actual_eval_cost,0.0,0.40559440559440557,0.009137211993006994,0.40559440559440557,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 48, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 64, ""solver:openai/gpt-oss-120b"": 174, ""solver:openai/gpt-oss-20b"": 0}"
best_always,actual_realized,0.0,0.47202797202797203,0.01390635125874126,0.47202797202797203,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
oracle_direct_true_reward_true_cost,actual_realized,0.0,0.5594405594405595,0.0014341748951048952,0.5594405594405595,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}"
q_bare_direct,fixed_train_mean,5.0,0.38461538461538464,0.00566420686013986,0.3562943503146853,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 120, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 29, ""solver:openai/gpt-oss-120b"": 115, ""solver:openai/gpt-oss-20b"": 22}"
q_bare_direct,predicted_expert_fixed_scout,5.0,0.3916083916083916,0.006048597174825174,0.36136540573426573,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 113, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 24, ""solver:openai/gpt-oss-120b"": 125, ""solver:openai/gpt-oss-20b"": 24}"
q_bare_direct,oracle_actual_eval_cost,5.0,0.3916083916083916,0.0056582444265734265,0.3633171694755245,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 112, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 28, ""solver:openai/gpt-oss-120b"": 123, ""solver:openai/gpt-oss-20b"": 23}"
best_always,actual_realized,5.0,0.47202797202797203,0.01390635125874126,0.40249621573426575,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
oracle_direct_true_reward_true_cost,actual_realized,5.0,0.5594405594405595,0.0014218673041958042,0.5523312229195805,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
q_bare_direct,fixed_train_mean,10.0,0.3741258741258741,0.004575637944055943,0.3283694946853147,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 123, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 18, ""solver:openai/gpt-oss-120b"": 78, ""solver:openai/gpt-oss-20b"": 67}"
q_bare_direct,predicted_expert_fixed_scout,10.0,0.3706293706293706,0.004848357744755245,0.3221457931818182,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 123, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 19, ""solver:openai/gpt-oss-120b"": 91, ""solver:openai/gpt-oss-20b"": 53}"
q_bare_direct,oracle_actual_eval_cost,10.0,0.3741258741258741,0.004585969269230769,0.32826618143356645,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 123, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 26, ""solver:openai/gpt-oss-120b"": 98, ""solver:openai/gpt-oss-20b"": 39}"
best_always,actual_realized,10.0,0.4020979020979021,0.004328844195804196,0.35880946013986015,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
oracle_direct_true_reward_true_cost,actual_realized,10.0,0.5594405594405595,0.0014218673041958042,0.5452218863986015,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
q_bare_direct,fixed_train_mean,15.0,0.36363636363636365,0.0040401072412587415,0.3030347550174825,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 130, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 10, ""solver:openai/gpt-oss-120b"": 61, ""solver:openai/gpt-oss-20b"": 85}"
q_bare_direct,predicted_expert_fixed_scout,15.0,0.36363636363636365,0.004140309097902099,0.30153172716783216,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 131, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 9, ""solver:openai/gpt-oss-120b"": 73, ""solver:openai/gpt-oss-20b"": 73}"
q_bare_direct,oracle_actual_eval_cost,15.0,0.36713286713286714,0.003432647664335664,0.3156431521678322,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 132, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 18, ""solver:openai/gpt-oss-120b"": 72, ""solver:openai/gpt-oss-20b"": 64}"
best_always,actual_realized,15.0,0.3881118881118881,0.0030106595979020982,0.34295199414335664,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
oracle_direct_true_reward_true_cost,actual_realized,15.0,0.5594405594405595,0.0014218673041958042,0.5381125498776225,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
q_bare_direct,fixed_train_mean,20.0,0.35664335664335667,0.003638724881118881,0.283868859020979,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 134, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 5, ""solver:openai/gpt-oss-120b"": 50, ""solver:openai/gpt-oss-20b"": 97}"
q_bare_direct,predicted_expert_fixed_scout,20.0,0.35664335664335667,0.0031805442237762237,0.2930324721678322,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 138, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 6, ""solver:openai/gpt-oss-120b"": 52, ""solver:openai/gpt-oss-20b"": 90}"
q_bare_direct,oracle_actual_eval_cost,20.0,0.3706293706293706,0.0026193949720279717,0.3182414711888112,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 135, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 16, ""solver:openai/gpt-oss-120b"": 53, ""solver:openai/gpt-oss-20b"": 82}"
best_always,actual_realized,20.0,0.3881118881118881,0.0030106595979020982,0.32789869615384615,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
